Название,Время чтения,Просмотры,Текст,Ключевые слова,Ссылка
Проверка готовности приложения к работе в реальном ненадежном мире. Часть 5,4 мин,Количество просмотров514,"Пятая и заключительная часть статьи, в которой Виталий Лихачёв, SRE в booking.com и спикер курса Слёрма «Golang-разработчик» рассказывает, о чём стоит подумать перед выкаткой сервиса в жестокий прод, где он может не справиться с нагрузкой или деградировать из-за резких всплесков при наплыве пользователей и по вечерам.","Блог компании Слёрм, Go*",https://habr.com/ru/companies/slurm/articles/858702/
Kafka для самых маленьких тестировщиков,5 мин,Количество просмотров5.1K,"Всем привет! Меня зовут Максим, я QA в Максилекте.","Блог компании Maxilect, Тестирование IT-систем*, Тестирование веб-сервисов*, Распределённые системы*, Микросервисы*",https://habr.com/ru/companies/maxilect/articles/858698/
Путь к совершенству через пентест,4 мин,Количество просмотров2K,"Пентесты в информационной безопасности — как поход в спортзал: они помогают понять, на что способна система, но многие их игнорируют.","Управление продуктом*, Информационная безопасность*, IT-компании, Системное администрирование*, Сетевые технологии*",https://habr.com/ru/articles/858674/
От живых гайдлайнов к Documentation as Code. Как изменилась документация во фронтенд-разработке,4 мин,Количество просмотров1.2K,"Пять лет назад я выступал на конференции с докладом о живых гайдлайнах и инструментах документирования для фронтенд-разработчиков, а еще публиковал на эту тему статью. Тогда мы только начинали понимать, как сильно может измениться процесс создания и поддержки документации в современных веб-проектах. Сегодня, оглядываясь назад, я вижу, насколько радикально изменился наш подход к документированию фронтенд-проектов.","Веб-разработка*, Анализ и проектирование систем*",https://habr.com/ru/articles/858672/
Kafka Streams ч3: Stateless processing,7 мин,Количество просмотров481,"В предыдущих статьях [ноль, один] мы рассмотрели основные концепции Kafka Streams и сравнили их со стандартными подходами обработки потоковых данных. В этой части мы сосредоточимся на stateless processing (обработке без сохранения состояния) и поймем как применять различные операции Kafka Streams для решения практических задач. Мы создадим приложение для обработки данных медицинской клиники.","Java*, Apache*",https://habr.com/ru/articles/858668/
Геометрия Стенда для Калибровки MEMS Акселерометра,5 мин,Количество просмотров1.3K,Пролог,"Программирование микроконтроллеров*, Математика*, Физика, Занимательные задачки, Производство и разработка электроники*",https://habr.com/ru/articles/858354/
Data catalog: от истории до сравнения решений,11 мин,Количество просмотров784,"Прийти и по запросу быстро найти нужные данные — идеальный сценарий. Но он практически невозможен при условии использования множества баз данных и хранилищ. В реальных условиях без «надстройки» над всеми БД и «единой точки входа» команды вынуждены тратить время на исследование разных хранилищ, их каталогов и подкаталогов в поиске нужных файлов без какой-либо гарантии успешного результата. Такой «надстройкой» являются каталоги данных.","Блог компании VK, Big Data*, Хранение данных*",https://habr.com/ru/companies/vk/articles/857894/
Технологии слежения: простой гайд для настройки системы мониторинга вашего бизнеса,4 мин,Количество просмотров1.4K,"В фудтехе и агротехе существует множество сценариев, где мониторинг процессов, анализ данных и автоматизированные реакции на изменения показателей играют важную роль:","IT-инфраструктура*, Визуализация данных*",https://habr.com/ru/articles/858654/
Сравнение бенчмарков LLM для разработки программного обеспечения,10 мин,Количество просмотров872,"В этой статье мы сравним различные бенчмарки, которые помогают ранжировать крупные языковые модели для задач разработки программного обеспечения.","Big Data*, Data Engineering*, Data Mining*, Искусственный интеллект, Машинное обучение*",https://habr.com/ru/articles/857754/
"Продуктовые обновления октября: релиз сертифицированного WAF, прерываемые ВМ в Managed Kubernetes и другое",4 мин,Количество просмотров493,Технический писатель,"Блог компании Selectel, IT-инфраструктура*, Kubernetes*, Облачные сервисы*, Серверное администрирование*",https://habr.com/ru/companies/selectel/articles/858506/
Первые звоночки: популярные марки пейджеров из 90-х годов,3 мин,Количество просмотров1.5K,"Пейджеры, которые в конце XX века считались одной из вершин технического прогресса, сейчас воспринимаются как что-то давно забытое. Рассказываем в нашей статье ностальгическую историю появления этих гаджетов, о которых недавно вспомнил весь мир. Правда, в трагическом ключе.","Блог компании Online patent, Производство и разработка электроники*, Брендинг, Старое железо",https://habr.com/ru/companies/onlinepatent/articles/858648/
"GIMP Script-Fu Первый Дан. Точки, Контуры, Кисти и Градиенты",12 мин,Количество просмотров477,"Создать абстракцию неких объектов на лиспе, это значит создать некий функциональный интерфейс обрабатывающий объекты данного типа. Нам необходима абстракция точки в двумерном пространстве, значит надо хранить две координаты. Для хранения двух значений в лиспе идеально подходит структура пары, создаваемая cons, на ней и будет базироваться первый вариант реализации точки.","Lisp*, Программирование*, Графический дизайн*",https://habr.com/ru/articles/858646/
Разработка Telegram Mini App с помощью React,18 мин,Количество просмотров1.9K,"Telegram Mini App — это веб-приложения, которые открываются внутри мессенджера Telegram. Эти приложения создаются с использованием стандартных веб-технологий, таких как HTML, CSS и JavaScript, и выглядят как обыкновенные сайты.","Блог компании Timeweb Cloud, Веб-разработка*, React Native*, ReactJS*, Node.JS*",https://habr.com/ru/companies/timeweb/articles/858382/
Зоопарк группировок и уязвимые диски,6 мин,Количество просмотров988,"Всем привет! И снова в эфир врываются специалисты группы киберразведки экспертного центра безопасности Positive Technologies. В начале сентября 2024 года мы обнаружили подозрительный образ виртуального диска формата VHDX — крайне редкое событие при просмотре потока данных. Анализ VHDX и всех связанных файлов позволил атрибутировать эту атаку группировке APT-C-60. Одну из последних похожих кампаний в июле 2023 года описали в своей статье эксперты компании ThreatBook. Однако при сравнении удалось выделить различия как в файловой иерархии на диске, так и в используемых командах и инструментах.","Блог компании Positive Technologies, Информационная безопасность*, Исследования и прогнозы в IT*, Реверс-инжиниринг*",https://habr.com/ru/companies/pt/articles/858612/
Как учить разработке на Битрикс: наши 20 лет опыта,5 мин,Количество просмотров1.3K,"С 2003 года CMS «1С-Битрикс: Управление сайтом» активно представлена на рынке, а в 2012 к ней присоединилась CRM «Битрикс24». Эти продукты быстро завоевали популярность, и сегодня у компании-разработчика более 20 тысяч партнеров. Несмотря на неоднозначное восприятие «1С-Битрикс» среди программистов, спрос на эту платформу продолжает расти, и многие разработчики успешно создают на ней проекты.","Блог компании ИНТЕРВОЛГА, Веб-разработка*",https://habr.com/ru/companies/intervolga/articles/858622/
Книга: «Простое объектно-ориентированное проектирование: чистый и гибкий код»,9 мин,Количество просмотров4.9K,Пользователь,"Блог компании Издательский дом «Питер», Java*, Профессиональная литература*",https://habr.com/ru/companies/piter/articles/858298/
Почему искусственный интеллект может сократить инвестиции в квантовые вычисления,11 мин,Количество просмотров933,"Достижения в применении искусственного интеллекта к симуляциям в области физики и химии заставляют некоторых задумываться о том, понадобятся ли нам вообще квантовые компьютеры.","Искусственный интеллект, Квантовые технологии, Машинное обучение*",https://habr.com/ru/articles/858616/
Протоколы внутренней маршрутизации,7 мин,Количество просмотров3.1K,"Материал продолжает серию статей, посвящённую семинарам внутреннего обучения, которые проводятся в IT-компании NAUKA.","Блог компании NAUKA, IT-инфраструктура*, Java*, Программирование*, Сетевые технологии*",https://habr.com/ru/companies/nauka/articles/858606/
